Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Russia,Saudi Arabia,Group Phase,Luzhniki Stadium,Moscow,18:00,14,6,2018,5,0,
Egypt,Uruguay,Group Phase,Ekaterinburg Arena,Ekaterinburg,17:00,15,6,2018,0,1,
Morocco,IR Iran,Group Phase,Saint Petersburg Stadium,St. Petersburg,18:00,15,6,2018,0,1,
Portugal,Spain,Group Phase,Fisht Stadium,Sochi,21:00,15,6,2018,3,3,{WinTeamName} win on aggregate after regular time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountry} Win on agg. {WinTeamName} win on aggregate after extra time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountryCode} win on agg AET {WinTeamName} win on away goal after regular time {WinTeamCountry} win on away goals {WinTeamName} win on away goal after extra time {WinTeamCountry} win on away goals AET {WinTeamName} win after extra time {WinTeamCountryCode} win AET Win on Golden Goal Win by Golden Goal   {WinTeamName} win on penalties ({ScorePenH} - {ScorePenA}) {WinTeamCountryCode} win after PSO Win by Silver Goal Win by Silver Goal
France,Australia,Group Phase,Kazan Arena,Kazan,13:00,16,6,2018,2,1,
Argentina,Iceland,Group Phase,Spartak Stadium,Moscow,16:00,16,6,2018,1,1,{WinTeamName} win on aggregate after regular time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountry} Win on agg. {WinTeamName} win on aggregate after extra time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountryCode} win on agg AET {WinTeamName} win on away goal after regular time {WinTeamCountry} win on away goals {WinTeamName} win on away goal after extra time {WinTeamCountry} win on away goals AET {WinTeamName} win after extra time {WinTeamCountryCode} win AET Win on Golden Goal Win by Golden Goal   {WinTeamName} win on penalties ({ScorePenH} - {ScorePenA}) {WinTeamCountryCode} win after PSO Win by Silver Goal Win by Silver Goal
Peru,Denmark,Group Phase,Mordovia Arena,Saransk,19:00,16,6,2018,0,1,
Croatia,Nigeria,Group Phase,Kaliningrad Stadium,Kaliningrad,21:00,16,6,2018,2,0,
Costa Rica,Serbia,Group Phase,Samara Arena,Samara,16:00,17,6,2018,0,1,
Germany,Mexico,Group Phase,Luzhniki Stadium,Moscow,18:00,17,6,2018,0,1,
Brazil,Switzerland,Group Phase,Rostov Arena,Rostov-On-Don,21:00,17,6,2018,1,1,{WinTeamName} win on aggregate after regular time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountry} Win on agg. {WinTeamName} win on aggregate after extra time ({ScoreAggH} - {ScoreAggA}) {WinTeamCountryCode} win on agg AET {WinTeamName} win on away goal after regular time {WinTeamCountry} win on away goals {WinTeamName} win on away goal after extra time {WinTeamCountry} win on away goals AET {WinTeamName} win after extra time {WinTeamCountryCode} win AET Win on Golden Goal Win by Golden Goal   {WinTeamName} win on penalties ({ScorePenH} - {ScorePenA}) {WinTeamCountryCode} win after PSO Win by Silver Goal Win by Silver Goal
Sweden,Korea Republic,Group Phase,Nizhny Novgorod Stadium,Nizhny Novgorod,15:00,18,6,2018,1,0,
Belgium,Panama,Group Phase,Fisht Stadium,Sochi,18:00,18,6,2018,3,0,
Tunisia,England,Group Phase,Volgograd Arena,Volgograd,21:00,18,6,2018,1,2,
Colombia,Japan,Group Phase,Mordovia Arena,Saransk,15:00,19,6,2018,1,2,
Poland,Senegal,Group Phase,Spartak Stadium,Moscow,18:00,19,6,2018,1,2,
Russia,Egypt,Group Phase,Saint Petersburg Stadium,St. Petersburg,21:00,19,6,2018,3,1,
Portugal,Morocco,Group Phase,Luzhniki Stadium,Moscow,15:00,20,6,2018,1,0,
Uruguay,Saudi Arabia,Group Phase,Rostov Arena,Rostov-On-Don,18:00,20,6,2018,1,0,
IR Iran,Spain,Group Phase,Kazan Arena,Kazan,21:00,20,6,2018,0,1,
