Team1,Team2,Score1,Score2,Date/Time
Russia,Saudi Arabia,5,0,2018-06-14 18:00:00
Egypt,Uruguay,0,1,2018-06-15 17:00:00
Morocco,Iran,0,1,2018-06-15 18:00:00
Portugal,Spain,3,3,2018-06-15 21:00:00
France,Australia,2,1,2018-06-16 13:00:00
Argentina,Iceland,1,1,2018-06-16 16:00:00
Peru,Denmark,0,1,2018-06-16 19:00:00
Croatia,Nigeria,2,0,2018-06-16 21:00:00
Costa Rica,Serbia,0,1,2018-06-17 16:00:00
Germany,Mexico,0,1,2018-06-17 18:00:00
Brazil,Switzerland,1,1,2018-06-17 21:00:00
Sweden,South Korea,1,0,2018-06-18 15:00:00
Belgium,Panama,3,0,2018-06-18 18:00:00
Tunisia,England,1,2,2018-06-18 21:00:00
Colombia,Japan,1,2,2018-06-19 15:00:00
Poland,Senegal,1,2,2018-06-19 18:00:00
Russia,Egypt,3,1,2018-06-19 21:00:00
Portugal,Morocco,1,0,2018-06-20 15:00:00
Uruguay,Saudi Arabia,1,0,2018-06-20 18:00:00
Iran,Spain,0,1,2018-06-20 21:00:00
Denmark,Australia,1,1,2018-06-21 16:00:00
France,Peru,1,0,2018-06-21 20:00:00
Argentina,Croatia,0,3,2018-06-21 21:00:00
Brazil,Costa Rica,2,0,2018-06-22 15:00:00
Nigeria,Iceland,2,0,2018-06-22 18:00:00
Serbia,Switzerland,1,2,2018-06-22 20:00:00
Belgium,Tunisia,5,2,2018-06-23 15:00:00
South Korea,Mexico,1,2,2018-06-23 18:00:00
Germany,Sweden,2,1,2018-06-23 21:00:00
England,Panama,6,1,2018-06-24 15:00:00
Japan,Senegal,2,2,2018-06-24 20:00:00
Poland,Colombia,0,3,2018-06-24 21:00:00
Uruguay,Russia,3,0,2018-06-25 18:00:00
Saudi Arabia,Egypt,2,1,2018-06-25 17:00:00
Spain,Morocco,2,2,2018-06-25 20:00:00
Iran,Portugal,1,1,2018-06-25 21:00:00
Australia,Peru,0,2,2018-06-26 17:00:00
Denmark,France,0,0,2018-06-26 17:00:00
Nigeria,Argentina,1,2,2018-06-26 21:00:00
Iceland,Croatia,1,2,2018-06-26 21:00:00
South Korea,Germany,2,0,2018-06-27 17:00:00
Mexico,Sweden,0,3,2018-06-27 19:00:00
Serbia,Brazil,0,2,2018-06-27 21:00:00
Switzerland,Costa Rica,2,2,2018-06-27 21:00:00
Japan,Poland,0,1,2018-06-28 17:00:00
Senegal,Colombia,0,1,2018-06-28 18:00:00
Panama,Tunisia,1,2,2018-06-28 21:00:00
England,Belgium,0,1,2018-06-28 20:00:00
France,Argentina,4,3,2018-06-30 17:00:00
Uruguay,Portugal,2,1,2018-06-30 21:00:00
Spain,Russia,1,1,2018-07-01 17:00:00
Croatia,Denmark,1,1,2018-07-01 21:00:00
Brazil,Mexico,2,0,2018-07-02 18:00:00
Belgium,Japan,3,2,2018-07-02 21:00:00
Sweden,Switzerland,1,0,2018-07-03 17:00:00
Colombia,England,1,1,2018-07-03 21:00:00
Uruguay,France,0,2,2018-07-06 17:00:00
Brazil,Belgium,1,2,2018-07-06 21:00:00
Sweden,England,0,2,2018-07-07 18:00:00
Russia,Croatia,2,2,2018-07-07 21:00:00
France,Belgium,1,0,2018-07-10 21:00:00
Croatia,England,2,1,2018-07-11 21:00:00
Belgium,England,2,0,2018-07-14 17:00:00
France,Croatia,4,2,2018-07-15 18:00:00
