Team1,Team2,Score1,Score2,Date/Time,nb_matches1,nb_matches2,goals_past1,goals_past2,ratio_goals_past1,ratio_goals_past2,nb_wins1,nb_wins2,ratio_wins1,ratio_wins2,nb_losses1,nb_losses2,ratio_losses1,ratio_losses2,nb_draws1,nb_draws2,ratio_draws1,ratio_draws2,nb_wins_opp1,nb_wins_opp2,ratio_wins_opp1,ratio_wins_opp2,nb_losses_opp1,nb_losses_opp2,ratio_losses_opp1,ratio_losses_opp2,nb_draws_opp1,nb_draws_opp2,ratio_draws_opp1,ratio_draws_opp2,Ranks1,Ranks2,Points1,Points2,Year,Population1,Population2,Surface1,Surface2,Density1,Density2
Qatar,Iran,1,2,2018-12-31 18:00:00,11,15,19,18,0.6129032258064516,0.6428571428571429,7,8,0.6363636363636364,0.5333333333333333,7,8,0.18181818181818185,0.2,2,4,0.18181818181818185,0.26666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,29,1258,1481,2018,2378373.0,81810283.0,11586,1648195,205.27990678404973,49.63628878864455
South Korea,Saudi Arabia,0,0,2018-12-31 17:00:00,18,17,24,18,0.5581395348837209,0.3829787234042553,7,5,0.3888888888888889,0.29411764705882354,7,5,0.3333333333333333,0.4705882352941176,5,4,0.2777777777777778,0.2352941176470588,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,69,1196,1335,2018,50896594.0,33299935.0,100210,2149690,507.8993513621395,15.49057538528811
Philippines,Vietnam,2,4,2018-12-31 16:00:00,3,1,5,1,0.5555555555555556,0.5,1,0,0.3333333333333333,0.0,1,0,0.0,0.0,2,1,0.6666666666666666,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,116,100,1171,1229,2018,105341062.0,96356744.0,342353,331212,307.6972072685211,290.92165742787097
Kyrgyzstan,Palestine,2,1,2018-12-31 13:00:00,7,11,5,7,0.3333333333333333,0.35,3,2,0.42857142857142855,0.18181818181818185,3,2,0.42857142857142855,0.3636363636363637,1,5,0.14285714285714285,0.4545454545454545,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,91,99,1264,1236,2018,6213441.0,5061292.0,199951,6220,31.07481833049097,813.7125401929261
Yemen,Syria,0,1,2018-12-30 17:00:00,2,8,0,9,0.0,0.4736842105263158,0,2,0.0,0.25,0,2,1.0,0.25,0,4,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,135,74,1106,1322,2018,28758331.0,19482401.0,527968,185180,54.46983718710225,105.20791122151421
Oman,Australia,0,5,2018-12-30 13:00:00,10,10,8,17,0.6153846153846154,0.6071428571428571,3,4,0.3,0.4,3,4,0.0,0.3,7,3,0.7,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,82,41,1295,1436,2018,4774323.0,24966531.0,309500,7692024,15.425922455573506,3.245768733950908
Bahrain,North Korea,4,0,2018-12-29 18:00:00,8,3,12,3,0.7058823529411765,0.375,3,0,0.375,0.0,3,0,0.25,0.3333333333333333,3,2,0.375,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,53,1178,1405,2018,1442394.0,25527001.0,765,120538,1885.4823529411765,211.77554795997943
United Arab Emirates,Kuwait,0,2,2018-12-28 15:30:00,8,9,7,9,0.5,0.39130434782608703,2,2,0.25,0.2222222222222222,2,2,0.375,0.4444444444444444,3,3,0.375,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,79,158,1309,1018,2018,9542843.0,4176642.0,83600,17818,114.14883971291866,234.405769446627
Iraq,Palestine,1,0,2018-12-28 15:00:00,10,10,15,7,0.5357142857142857,0.3684210526315789,3,2,0.3,0.2,3,2,0.2,0.3,5,5,0.5,0.5,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,88,99,1271,1236,2018,39751312.0,5061292.0,438317,6220,90.69078315465747,813.7125401929261
Jordan,China,1,1,2018-12-28 13:00:00,14,11,15,10,0.5172413793103449,0.6666666666666666,5,5,0.35714285714285715,0.4545454545454545,5,5,0.35714285714285715,0.18181818181818185,4,4,0.2857142857142857,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,76,1196,1317,2018,7985411.0,1393686493.0,89342,9706961,89.38025788542903,143.57598562516117
Bahrain,Lebanon,1,0,2018-12-27 18:00:00,7,5,11,1,0.6875,0.2,2,1,0.2857142857142857,0.2,2,1,0.2857142857142857,0.4,3,2,0.42857142857142855,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,81,1178,1296,2018,1442394.0,6021629.0,765,10452,1885.4823529411765,576.1221775736701
India,Oman,0,0,2018-12-27 15:00:00,7,9,7,8,0.5,0.6153846153846154,2,3,0.2857142857142857,0.3333333333333333,2,3,0.5714285714285714,0.0,1,6,0.14285714285714285,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,97,82,1240,1295,2018,1358137719.0,4774323.0,3287590,309500,413.1104301327112,15.425922455573506
Qatar,Algeria,0,1,2018-12-27 12:00:00,10,6,19,7,0.6333333333333333,0.3684210526315789,7,1,0.7,0.16666666666666666,7,1,0.1,0.8333333333333334,2,0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,67,1258,1347,2018,2378373.0,41729942.0,11586,2381741,205.27990678404973,17.52077240976244
Qatar,Kyrgyzstan,1,0,2018-12-25 18:00:00,9,6,18,5,0.6206896551724138,0.35714285714285715,6,3,0.6666666666666666,0.5,6,3,0.1111111111111111,0.3333333333333333,2,1,0.2222222222222222,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,91,1258,1264,2018,2378373.0,6213441.0,11586,199951,205.27990678404973,31.07481833049097
Afghanistan,Turkmenistan,0,2,2018-12-25 14:00:00,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,147,127,1068,1120,2018,34935713.0,5565070.0,652230,488100,53.56348680680128,11.401495595164926
Jordan,Iran,1,1,2018-12-25 14:00:00,14,14,15,17,0.5172413793103449,0.6538461538461539,5,8,0.35714285714285715,0.5714285714285714,5,8,0.35714285714285715,0.21428571428571427,4,3,0.2857142857142857,0.21428571428571427,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,29,1196,1481,2018,7985411.0,81810283.0,89342,1648195,89.38025788542903,49.63628878864455
Vietnam,North Korea,1,1,2018-12-25 13:00:00,0,2,0,2,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.5,0,1,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,100,53,1229,1405,2018,96356744.0,25527001.0,331212,120538,290.92165742787097,211.77554795997943
Palestine,Iran,1,1,2018-12-24 15:00:00,9,13,6,16,0.35294117647058826,0.6666666666666666,2,8,0.2222222222222222,0.6153846153846154,2,8,0.3333333333333333,0.2307692307692308,4,2,0.4444444444444444,0.15384615384615385,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,99,29,1236,1481,2018,5061292.0,81810283.0,6220,1648195,813.7125401929261,49.63628878864455
Iraq,China,2,1,2018-12-24 13:00:00,9,10,13,9,0.52,0.75,2,5,0.2222222222222222,0.5,2,5,0.2222222222222222,0.1,5,4,0.5555555555555556,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,88,76,1271,1317,2018,39751312.0,1393686493.0,438317,9706961,90.69078315465747,143.57598562516117
Qatar,Jordan,2,0,2018-12-23 17:00:00,8,13,16,15,0.5925925925925926,0.5555555555555556,5,5,0.625,0.38461538461538464,5,5,0.125,0.3076923076923077,2,4,0.25,0.3076923076923077,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,109,1258,1196,2018,2378373.0,7985411.0,11586,89342,205.27990678404973,89.38025788542903
Bahrain,Tajikistan,5,0,2018-12-20 17:00:00,6,2,6,1,0.5454545454545454,0.25,1,0,0.16666666666666666,0.0,1,0,0.3333333333333333,1.0,3,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,120,1178,1158,2018,1442394.0,9046723.0,765,143100,1885.4823529411765,63.219587700908455
Jordan,Kyrgyzstan,0,1,2018-12-20 16:00:00,12,5,15,4,0.5769230769230769,0.3076923076923077,5,2,0.4166666666666667,0.4,5,2,0.25,0.4,4,1,0.3333333333333333,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,91,1196,1264,2018,7985411.0,6213441.0,89342,199951,89.38025788542903,31.07481833049097
Palestine,Pakistan,2,0,2018-12-16 17:00:00,8,1,4,1,0.26666666666666666,0.3333333333333333,1,0,0.125,0.0,1,0,0.375,1.0,4,0,0.5,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,99,201,1230,884,2018,5061292.0,200662818.0,6220,881912,813.7125401929261,227.5315655076697
Oman,Tajikistan,1,0,2018-12-16 15:00:00,8,1,7,1,0.5833333333333334,0.3333333333333333,2,0,0.25,0.0,2,0,0.0,1.0,6,0,0.75,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,84,120,1288,1156,2018,4774323.0,9046723.0,309500,143100,15.425922455573506,63.219587700908455
Croatia,Turkey,0,0,2018-12-15 14:00:00,24,20,38,31,0.5205479452054794,0.5535714285714286,12,9,0.5,0.45,12,9,0.3333333333333333,0.3,4,5,0.16666666666666666,0.25,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,4,38,1643,1455,2018,4194538.0,81086257.0,56594,783562,74.11630208149273,103.48416207013612
