Team1,Team2,Score1,Score2,Date/Time,nb_matches1,nb_matches2,goals_past1,goals_past2,ratio_goals_past1,ratio_goals_past2,nb_wins1,nb_wins2,ratio_wins1,ratio_wins2,nb_losses1,nb_losses2,ratio_losses1,ratio_losses2,nb_draws1,nb_draws2,ratio_draws1,ratio_draws2,nb_wins_opp1,nb_wins_opp2,ratio_wins_opp1,ratio_wins_opp2,nb_losses_opp1,nb_losses_opp2,ratio_losses_opp1,ratio_losses_opp2,nb_draws_opp1,nb_draws_opp2,ratio_draws_opp1,ratio_draws_opp2,Ranks1,Ranks2,Points1,Points2
Qatar,Iran,1,2,2018-12-31 18:00:00,11,15,19,18,0.6129032258064516,0.6428571428571429,7,8,0.6363636363636364,0.5333333333333333,7,8,0.18181818181818185,0.2,2,4,0.18181818181818185,0.26666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,29,1258,1481
South Korea,Saudi Arabia,0,0,2018-12-31 17:00:00,18,17,24,18,0.5581395348837209,0.3829787234042553,7,5,0.3888888888888889,0.29411764705882354,7,5,0.3333333333333333,0.4705882352941176,5,4,0.2777777777777778,0.2352941176470588,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,69,1196,1335
Philippines,Vietnam,2,4,2018-12-31 16:00:00,3,1,5,1,0.5555555555555556,0.5,1,0,0.3333333333333333,0.0,1,0,0.0,0.0,2,1,0.6666666666666666,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,116,100,1171,1229
Kyrgyzstan,Palestine,2,1,2018-12-31 13:00:00,7,11,5,7,0.3333333333333333,0.35,3,2,0.42857142857142855,0.18181818181818185,3,2,0.42857142857142855,0.3636363636363637,1,5,0.14285714285714285,0.4545454545454545,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,91,99,1264,1236
Yemen,Syria,0,1,2018-12-30 17:00:00,2,8,0,9,0.0,0.4736842105263158,0,2,0.0,0.25,0,2,1.0,0.25,0,4,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,135,74,1106,1322
Oman,Australia,0,5,2018-12-30 13:00:00,10,10,8,17,0.6153846153846154,0.6071428571428571,3,4,0.3,0.4,3,4,0.0,0.3,7,3,0.7,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,82,41,1295,1436
Bahrain,North Korea,4,0,2018-12-29 18:00:00,8,3,12,3,0.7058823529411765,0.375,3,0,0.375,0.0,3,0,0.25,0.3333333333333333,3,2,0.375,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,53,1178,1405
United Arab Emirates,Kuwait,0,2,2018-12-28 15:30:00,8,9,7,9,0.5,0.39130434782608703,2,2,0.25,0.2222222222222222,2,2,0.375,0.4444444444444444,3,3,0.375,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,79,158,1309,1018
Iraq,Palestine,1,0,2018-12-28 15:00:00,10,10,15,7,0.5357142857142857,0.3684210526315789,3,2,0.3,0.2,3,2,0.2,0.3,5,5,0.5,0.5,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,88,99,1271,1236
Jordan,China,1,1,2018-12-28 13:00:00,14,11,15,10,0.5172413793103449,0.6666666666666666,5,5,0.35714285714285715,0.4545454545454545,5,5,0.35714285714285715,0.18181818181818185,4,4,0.2857142857142857,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,76,1196,1317
Bahrain,Lebanon,1,0,2018-12-27 18:00:00,7,5,11,1,0.6875,0.2,2,1,0.2857142857142857,0.2,2,1,0.2857142857142857,0.4,3,2,0.42857142857142855,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,81,1178,1296
India,Oman,0,0,2018-12-27 15:00:00,7,9,7,8,0.5,0.6153846153846154,2,3,0.2857142857142857,0.3333333333333333,2,3,0.5714285714285714,0.0,1,6,0.14285714285714285,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,97,82,1240,1295
Qatar,Algeria,0,1,2018-12-27 12:00:00,10,6,19,7,0.6333333333333333,0.3684210526315789,7,1,0.7,0.16666666666666666,7,1,0.1,0.8333333333333334,2,0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,67,1258,1347
Qatar,Kyrgyzstan,1,0,2018-12-25 18:00:00,9,6,18,5,0.6206896551724138,0.35714285714285715,6,3,0.6666666666666666,0.5,6,3,0.1111111111111111,0.3333333333333333,2,1,0.2222222222222222,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,91,1258,1264
Afghanistan,Turkmenistan,0,2,2018-12-25 14:00:00,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,147,127,1068,1120
Jordan,Iran,1,1,2018-12-25 14:00:00,14,14,15,17,0.5172413793103449,0.6538461538461539,5,8,0.35714285714285715,0.5714285714285714,5,8,0.35714285714285715,0.21428571428571427,4,3,0.2857142857142857,0.21428571428571427,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,29,1196,1481
Vietnam,North Korea,1,1,2018-12-25 13:00:00,0,2,0,2,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.5,0,1,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,100,53,1229,1405
Palestine,Iran,1,1,2018-12-24 15:00:00,9,13,6,16,0.35294117647058826,0.6666666666666666,2,8,0.2222222222222222,0.6153846153846154,2,8,0.3333333333333333,0.2307692307692308,4,2,0.4444444444444444,0.15384615384615385,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,99,29,1236,1481
Iraq,China,2,1,2018-12-24 13:00:00,9,10,13,9,0.52,0.75,2,5,0.2222222222222222,0.5,2,5,0.2222222222222222,0.1,5,4,0.5555555555555556,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,88,76,1271,1317
Qatar,Jordan,2,0,2018-12-23 17:00:00,8,13,16,15,0.5925925925925926,0.5555555555555556,5,5,0.625,0.38461538461538464,5,5,0.125,0.3076923076923077,2,4,0.25,0.3076923076923077,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,109,1258,1196
Bahrain,Tajikistan,5,0,2018-12-20 17:00:00,6,2,6,1,0.5454545454545454,0.25,1,0,0.16666666666666666,0.0,1,0,0.3333333333333333,1.0,3,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,120,1178,1158
Jordan,Kyrgyzstan,0,1,2018-12-20 16:00:00,12,5,15,4,0.5769230769230769,0.3076923076923077,5,2,0.4166666666666667,0.4,5,2,0.25,0.4,4,1,0.3333333333333333,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,91,1196,1264
Palestine,Pakistan,2,0,2018-12-16 17:00:00,8,1,4,1,0.26666666666666666,0.3333333333333333,1,0,0.125,0.0,1,0,0.375,1.0,4,0,0.5,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,99,201,1230,884
Oman,Tajikistan,1,0,2018-12-16 15:00:00,8,1,7,1,0.5833333333333334,0.3333333333333333,2,0,0.25,0.0,2,0,0.0,1.0,6,0,0.75,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,84,120,1288,1156
Croatia,Turkey,0,0,2018-12-15 14:00:00,24,20,38,31,0.5205479452054794,0.5535714285714286,12,9,0.5,0.45,12,9,0.3333333333333333,0.3,4,5,0.16666666666666666,0.25,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,4,38,1643,1455
Bosnia and Herzegovina,Montenegro,2,0,2018-12-15 10:00:00,12,15,11,11,0.6470588235294118,0.3333333333333333,5,3,0.4166666666666667,0.2,5,3,0.25,0.3333333333333333,4,7,0.3333333333333333,0.4666666666666667,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,39,41,1452,1440
Israel,Germany,0,2,2018-12-13 17:00:00,11,24,18,42,0.5806451612903226,0.6268656716417911,4,12,0.3636363636363637,0.5,4,12,0.2727272727272727,0.2916666666666667,4,5,0.3636363636363637,0.20833333333333331,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,93,15,1256,1561
Oman,Tajikistan,2,1,2018-12-13 15:30:00,8,0,6,0,0.6,0.0,2,0,0.25,0.0,2,0,0.0,0.0,6,0,0.75,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,84,120,1288,1156
Croatia,Bosnia and Herzegovina,1,2,2018-12-13 15:00:00,23,11,37,9,0.5285714285714286,0.6428571428571429,12,4,0.5217391304347826,0.3636363636363637,12,4,0.3043478260869565,0.2727272727272727,4,4,0.17391304347826084,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,39,1643,1452
Turkey,Montenegro,3,0,2018-12-13 11:00:00,19,14,28,11,0.5283018867924528,0.36666666666666653,8,3,0.42105263157894735,0.21428571428571427,8,3,0.3157894736842105,0.2857142857142857,5,7,0.2631578947368421,0.5,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,38,41,1455,1440
Croatia,Montenegro,1,3,2018-12-11 15:00:00,22,13,36,8,0.5454545454545454,0.3076923076923077,12,2,0.5454545454545454,0.15384615384615385,12,2,0.2727272727272727,0.3076923076923077,4,7,0.18181818181818185,0.5384615384615384,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,41,1643,1440
Belarus,Georgia,2,3,2018-12-11 12:00:00,16,9,16,19,0.3809523809523809,0.6551724137931034,3,4,0.1875,0.4444444444444444,3,4,0.5,0.1111111111111111,5,4,0.3125,0.4444444444444444,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,78,96,1306,1242
Turkey,Bosnia and Herzegovina,2,1,2018-12-11 11:00:00,18,10,26,8,0.52,0.7272727272727273,7,4,0.3888888888888889,0.4,7,4,0.3333333333333333,0.2,5,4,0.2777777777777778,0.4,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,38,39,1455,1452
Germany,Serbia,1,1,2018-12-11 10:00:00,23,16,41,14,0.6307692307692307,0.4,12,3,0.5217391304347826,0.1875,12,3,0.3043478260869565,0.625,4,3,0.17391304347826084,0.1875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,15,36,1561,1459
Spain,Portugal,3,2,2018-12-06 16:00:00,14,29,29,45,0.6904761904761905,0.5921052631578947,7,13,0.5,0.4482758620689655,7,13,0.0,0.20689655172413796,7,10,0.5,0.3448275862068966,0,0,0.0,0.0,0,0,0.0,0.0,2,2,1.0,1.0,9,7,1580,1599
Portugal,Spain,1,1,2018-12-04 17:00:00,28,13,44,28,0.5945945945945946,0.7,13,7,0.4642857142857143,0.5384615384615384,13,7,0.21428571428571427,0.0,9,6,0.32142857142857145,0.4615384615384616,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,7,9,1599,1580
Montenegro,Slovenia,0,1,2018-11-29 13:00:00,12,10,8,18,0.32,0.5294117647058824,2,5,0.16666666666666666,0.5,2,5,0.25,0.4,7,1,0.5833333333333334,0.1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,41,55,1440,1392
El Salvador,Haiti,1,0,2018-11-21 02:00:00,2,1,1,0,0.16666666666666666,0.0,1,0,0.5,0.0,1,0,0.5,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,72,104,1332,1212
Panama,Ecuador,1,2,2018-11-21 02:00:00,12,7,5,16,0.15625,0.7272727272727273,1,5,0.08333333333333333,0.7142857142857143,1,5,0.75,0.14285714285714285,2,1,0.16666666666666666,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,69,60,1343,1376
Peru,Costa Rica,2,3,2018-11-21 01:30:00,15,13,22,13,0.6285714285714286,0.34210526315789475,7,3,0.4666666666666667,0.2307692307692308,7,3,0.4,0.6923076923076923,2,1,0.13333333333333333,0.07692307692307693,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,20,32,1535,1471
Chile,Honduras,4,1,2018-11-21 01:15:00,13,4,14,2,0.5,0.3333333333333333,5,1,0.38461538461538464,0.25,5,1,0.2307692307692308,0.5,5,1,0.38461538461538464,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12,61,1570,1368
Argentina,Mexico,2,0,2018-11-21 01:00:00,12,19,22,17,0.5789473684210527,0.3953488372093023,6,7,0.5,0.3684210526315789,6,7,0.3333333333333333,0.5263157894736842,2,2,0.16666666666666666,0.10526315789473684,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,11,16,1574,1560
France,Uruguay,1,0,2018-11-20 21:00:00,30,16,59,28,0.6555555555555556,0.5833333333333334,18,8,0.6,0.5,18,8,0.1,0.4375,9,1,0.3,0.0625,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,1,5,1726,1627
Italy,United States,1,0,2018-11-20 20:45:00,23,10,33,10,0.5,0.43478260869565216,9,3,0.39130434782608703,0.3,9,3,0.3478260869565217,0.4,6,3,0.2608695652173913,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,21,22,1532,1508
Brazil,Cameroon,1,0,2018-11-20 20:30:00,17,2,30,3,0.8571428571428571,0.6,12,1,0.7058823529411765,0.5,12,1,0.05882352941176471,0.5,4,0,0.2352941176470588,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,47,1657,1416
Albania,Wales,1,0,2018-11-20 20:00:00,11,7,12,7,0.42857142857142855,0.4375,4,2,0.3636363636363637,0.2857142857142857,4,2,0.4545454545454545,0.2857142857142857,2,3,0.18181818181818185,0.42857142857142855,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,58,19,1384,1536
Turkey,Ukraine,0,0,2018-11-20 18:30:00,17,12,26,19,0.52,0.5588235294117647,7,5,0.4117647058823529,0.4166666666666667,7,5,0.35294117647058826,0.25,4,4,0.2352941176470588,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38,35,1455,1468
Tunisia,Morocco,0,1,2018-11-20 18:00:00,9,9,11,13,0.4230769230769231,0.6190476190476191,3,5,0.3333333333333333,0.5555555555555556,3,5,0.4444444444444444,0.2222222222222222,2,2,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,24,46,1498,1418
Denmark,England,1,5,2018-11-20 18:00:00,22,21,25,39,0.4901960784313725,0.6842105263157895,7,13,0.3181818181818182,0.6190476190476191,7,13,0.3636363636363637,0.14285714285714285,7,5,0.3181818181818182,0.2380952380952381,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,6,1580,1615
Jordan,Saudi Arabia,1,1,2018-11-20 18:00:00,11,16,14,17,0.5833333333333334,0.37777777777777777,5,5,0.4545454545454545,0.3125,5,5,0.2727272727272727,0.5,3,3,0.2727272727272727,0.1875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,110,70,1192,1336
South Africa,Paraguay,1,1,2018-11-20 18:00:00,2,4,4,4,0.8,0.2857142857142857,2,0,1.0,0.0,2,0,0.0,0.75,0,1,0.0,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,74,30,1327,1477
Kuwait,Syria,1,2,2018-11-20 17:00:00,9,7,8,7,0.4,0.4375,2,1,0.2222222222222222,0.14285714285714285,2,1,0.3333333333333333,0.2857142857142857,4,4,0.4444444444444444,0.5714285714285714,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,159,73,1012,1328
Iraq,Bolivia,0,0,2018-11-20 17:00:00,9,11,13,9,0.5,0.2903225806451613,2,1,0.2222222222222222,0.09090909090909093,2,1,0.3333333333333333,0.5454545454545454,4,4,0.4444444444444444,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89,59,1274,1378
