Country,Population
,
China,"1,388,232,693"
India,"1,342,512,706"
United States of America,"326,474,013"
Indonesia,"263,510,146"
Brazil,"211,243,220"
Pakistan,"196,744,376"
Nigeria,"191,835,936"
Bangladesh,"164,827,718"
Russian Federation,"143,375,006"
Mexico,"130,222,815"
Japan,"126,045,211"
Ethiopia,"104,344,901"
Philippines,"103,796,832"
Viet Nam,"95,414,640"
Egypt,"95,215,102"
D.R. Congo,"82,242,685"
Iran,"80,945,718"
Germany,"80,636,124"
Turkey,"80,417,526"
Thailand,"68,297,547"
United Kingdom,"65,511,098"
France,"64,938,716"
Italy,"59,797,978"
Tanzania,"56,877,529"
South Africa,"55,436,360"
Myanmar,"54,836,483"
Republic of Korea,"50,704,971"
Colombia,"49,067,981"
Kenya,"48,466,928"
Spain,"46,070,146"
Ukraine,"44,405,055"
Argentina,"44,272,125"
Sudan,"42,166,323"
Uganda,"41,652,938"
Algeria,"41,063,753"
Iraq,"38,654,287"
Poland,"38,563,573"
Canada,"36,626,083"
Morocco,"35,241,418"
Afghanistan,"34,169,169"
Saudi Arabia,"32,742,664"
Peru,"32,166,473"
Venezuela,"31,925,705"
Malaysia,"31,164,177"
Uzbekistan,"30,690,914"
Mozambique,"29,537,914"
Nepal,"29,187,037"
Ghana,"28,656,723"
Yemen,"28,119,546"
Angola,"26,655,513"
Madagascar,"25,612,972"
Dem. People's Republic of Korea,"25,405,296"
Australia,"24,641,662"
Cameroon,"24,513,689"
Côte d'Ivoire,"23,815,886"
Taiwan,"23,405,309"
Niger,"21,563,607"
Sri Lanka,"20,905,335"
Romania,"19,237,513"
Burkina Faso,"19,173,322"
Syrian Arab Republic,"18,906,907"
Mali,"18,689,966"
Chile,"18,313,495"
Malawi,"18,298,679"
Kazakhstan,"18,064,470"
Zambia,"17,237,931"
Netherlands,"17,032,845"
Guatemala,"17,005,497"
Ecuador,"16,625,776"
Zimbabwe,"16,337,760"
Cambodia,"16,076,370"
Senegal,"16,054,275"
Chad,"14,965,482"
Guinea,"13,290,659"
South Sudan,"13,096,190"
Rwanda,"12,159,586"
Burundi,"11,936,481"
Tunisia,"11,494,760"
Benin,"11,458,611"
Belgium,"11,443,830"
Somalia,"11,391,962"
Cuba,"11,390,184"
Bolivia,"11,052,864"
Haiti,"10,983,274"
Greece,"10,892,931"
Dominican Republic,"10,766,564"
Czech Republic,"10,555,130"
Portugal,"10,264,797"
Azerbaijan,"9,973,697"
Sweden,"9,920,624"
Hungary,"9,787,905"
Belarus,"9,458,535"
United Arab Emirates,"9,397,599"
Tajikistan,"8,858,115"
Serbia,"8,776,940"
Austria,"8,592,400"
Switzerland,"8,454,083"
Israel,"8,323,248"
Honduras,"8,304,677"
Papua New Guinea,"7,933,841"
Jordan,"7,876,703"
Togo,"7,691,915"
"China, Hong Kong SAR","7,401,941"
Bulgaria,"7,045,259"
Laos,"7,037,521"
Paraguay,"6,811,583"
Sierra Leone,"6,732,899"
Libya,"6,408,742"
Nicaragua,"6,217,796"
El Salvador,"6,167,147"
Kyrgyzstan,"6,124,945"
Lebanon,"6,039,277"
Singapore,"5,784,538"
Denmark,"5,711,837"
Finland,"5,541,274"
Turkmenistan,"5,502,586"
Eritrea,"5,481,906"
Slovakia,"5,432,157"
Norway,"5,330,800"
Central African Republic,"5,098,826"
State of Palestine,"4,928,225"
Costa Rica,"4,905,626"
Congo,"4,866,243"
Ireland,"4,749,153"
Oman,"4,741,305"
Liberia,"4,730,437"
New Zealand,"4,604,871"
Mauritania,"4,266,448"
Croatia,"4,209,815"
Kuwait,"4,099,932"
Republic of Moldova,"4,054,640"
Panama,"4,051,284"
Georgia,"3,972,532"
Bosnia and Herzegovina,"3,792,759"
Puerto Rico,"3,679,086"
Uruguay,"3,456,877"
Mongolia,"3,051,900"
Armenia,"3,031,670"
Albania,"2,911,428"
Lithuania,"2,830,582"
Jamaica,"2,813,285"
Namibia,"2,568,569"
Botswana,"2,343,981"
Qatar,"2,338,085"
Lesotho,"2,185,159"
Gambia,"2,120,418"
TFYR Macedonia,"2,083,308"
Slovenia,"2,071,252"
Latvia,"1,944,565"
Guinea-Bissau,"1,932,871"
Gabon,"1,801,232"
Bahrain,"1,418,895"
Trinidad and Tobago,"1,369,157"
Swaziland,"1,320,356"
Estonia,"1,305,755"
Mauritius,"1,281,353"
Timor-Leste,"1,237,251"
Cyprus,"1,187,575"
Djibouti,"911,382"
Fiji,"902,547"
Equatorial Guinea,"894,464"
Réunion,"873,356"
Comoros,"825,920"
Bhutan,"792,877"
Guyana,"774,407"
Montenegro,"626,250"
"China, Macao SAR","606,384"
Solomon Islands,"606,215"
Western Sahara,"596,021"
Luxembourg,"584,103"
Suriname,"552,112"
Cabo Verde,"533,468"
Guadeloupe,"472,462"
Brunei Darussalam,"434,448"
Malta,"420,521"
Bahamas,"397,164"
Martinique,"396,071"
Maldives,"375,867"
Belize,"374,651"
Iceland,"334,303"
French Polynesia,"288,685"
Barbados,"285,744"
French Guiana,"282,761"
Vanuatu,"276,331"
New Caledonia,"269,736"
Mayotte,"253,068"
Sao Tome and Principe,"198,481"
Samoa,"195,743"
Saint Lucia,"187,768"
Guam,"174,214"
Channel Islands,"165,235"
Curaçao,"159,987"
Kiribati,"116,405"
Saint Vincent and the Grenadines,"109,895"
Grenada,"107,850"
Tonga,"107,797"
United States Virgin Islands,"106,574"
Micronesia (Fed. States of),"105,566"
Aruba,"104,588"
Seychelles,"97,539"
Antigua and Barbuda,"93,659"
